PDBId,FileName,gz,cif,Comment
1VYR,1VYR.cif.gz,true,true,1A100RXray.txt
1W0N,1W0N.cif.gz,true,true,1A100RXray.txt
1W3M,1W3M.cif.gz,true,true,1A100RXray.txt
1X6X,1X6X.cif.gz,true,true,1A100RXray.txt
1X6Z,1X6Z.cif.gz,true,true,1A100RXray.txt
1X8P,1X8P.cif.gz,true,true,1A100RXray.txt
1X8Q,1X8Q.cif.gz,true,true,1A100RXray.txt
1XG0,1XG0.cif.gz,true,true,1A100RXray.txt
1XVO,1XVO.cif.gz,true,true,1A100RXray.txt
1Y55,1Y55.cif.gz,true,true,1A100RXray.txt
1YWA,1YWA.cif.gz,true,true,1A100RXray.txt
1YWB,1YWB.cif.gz,true,true,1A100RXray.txt
1YWC,1YWC.cif.gz,true,true,1A100RXray.txt
1Z8A,1Z8A.cif.gz,true,true,1A100RXray.txt
1ZK4,1ZK4.cif.gz,true,true,1A100RXray.txt
1ZLB,1ZLB.cif.gz,true,true,1A100RXray.txt
2A6Z,2A6Z.cif.gz,true,true,1A100RXray.txt
2ABA,2ABA.cif.gz,true,true,1A100RXray.txt
2ABB,2ABB.cif.gz,true,true,1A100RXray.txt
2AGT,2AGT.cif.gz,true,true,1A100RXray.txt
2AT0,2AT0.cif.gz,true,true,1A100RXray.txt
2AT3,2AT3.cif.gz,true,true,1A100RXray.txt
2AT8,2AT8.cif.gz,true,true,1A100RXray.txt
2AYW,2AYW.cif.gz,true,true,1A100RXray.txt
2B97,2B97.cif.gz,true,true,1A100RXray.txt
2BF6,2BF6.cif.gz,true,true,1A100RXray.txt
2BLO,2BLO.cif.gz,true,true,1A100RXray.txt
2BLQ,2BLQ.cif.gz,true,true,1A100RXray.txt
2BT9,2BT9.cif.gz,true,true,1A100RXray.txt
2BV4,2BV4.cif.gz,true,true,1A100RXray.txt
2BW4,2BW4.cif.gz,true,true,1A100RXray.txt
2BZZ,2BZZ.cif.gz,true,true,1A100RXray.txt
2CE2,2CE2.cif.gz,true,true,1A100RXray.txt
2CHH,2CHH.cif.gz,true,true,1A100RXray.txt
2CNQ,2CNQ.cif.gz,true,true,1A100RXray.txt
2CWS,2CWS.cif.gz,true,true,1A100RXray.txt
2DDX,2DDX.cif.gz,true,true,1A100RXray.txt
2E4T,2E4T.cif.gz,true,true,1A100RXray.txt
2EVW,2EVW.cif.gz,true,true,1A100RXray.txt
2EWI,2EWI.cif.gz,true,true,1A100RXray.txt
