PDBId,FileName
2efl,2efl.cif.gz
1q7g,1q7g.cif.gz
1iyz,1iyz.cif.gz
3rnd,3rnd.cif.gz
4bfs,4bfs.cif.gz
1j0e,1j0e.cif.gz
2vmt,2vmt.cif.gz
5x6s,5x6s.cif.gz
4rgb,4rgb.cif.gz
6dm3,6dm3.cif.gz
4hfv,4hfv.cif.gz
4kv5,4kv5.cif.gz
3mcq,3mcq.cif.gz
4zqh,4zqh.cif.gz
1nt0,1nt0.cif.gz
1l8o,1l8o.cif.gz
6ew8,6ew8.cif.gz
4lon,4lon.cif.gz
4a2u,4a2u.cif.gz
5y9z,5y9z.cif.gz
3gv1,3gv1.cif.gz
4k93,4k93.cif.gz
3dwj,3dwj.cif.gz
2eix,2eix.cif.gz
3ct2,3ct2.cif.gz
1x74,1x74.cif.gz
5y0n,5y0n.cif.gz
5nrs,5nrs.cif.gz
2nva,2nva.cif.gz
5brf,5brf.cif.gz
5lkv,5lkv.cif.gz
2cga,2cga.cif.gz
4ugq,4ugq.cif.gz
3e67,3e67.cif.gz
2sas,2sas.cif.gz
6a8b,6a8b.cif.gz
3dqp,3dqp.cif.gz
1iut,1iut.cif.gz
3p8v,3p8v.cif.gz
6f7f,6f7f.cif.gz
2z9c,2z9c.cif.gz
3dui,3dui.cif.gz
3q0u,3q0u.cif.gz
6d38,6d38.cif.gz
4jzb,4jzb.cif.gz
3zz3,3zz3.cif.gz
3wpw,3wpw.cif.gz
3jss,3jss.cif.gz
3l65,3l65.cif.gz
3el5,3el5.cif.gz
3hbq,3hbq.cif.gz
4tkz,4tkz.cif.gz
4ckv,4ckv.cif.gz
1nmx,1nmx.cif.gz
3g1s,3g1s.cif.gz
1wq4,1wq4.cif.gz
2ysk,2ysk.cif.gz
4id0,4id0.cif.gz
6gmv,6gmv.cif.gz
3gyv,3gyv.cif.gz
3tp0,3tp0.cif.gz
2dkj,2dkj.cif.gz
2j6g,2j6g.cif.gz
6b2u,6b2u.cif.gz
3i4y,3i4y.cif.gz
4ojt,4ojt.cif.gz
2euc,2euc.cif.gz
3avq,3avq.cif.gz
1kv5,1kv5.cif.gz
4l93,4l93.cif.gz
2ess,2ess.cif.gz
5ckn,5ckn.cif.gz
5dvo,5dvo.cif.gz
1ipd,1ipd.cif.gz
1vp9,1vp9.cif.gz
6a9o,6a9o.cif.gz
4no4,4no4.cif.gz
3zsq,3zsq.cif.gz
4ugf,4ugf.cif.gz
2gyp,2gyp.cif.gz
5ijx,5ijx.cif.gz
6f5w,6f5w.cif.gz
3v5o,3v5o.cif.gz
1zpr,1zpr.cif.gz
4izs,4izs.cif.gz
2x3o,2x3o.cif.gz
4y1x,4y1x.cif.gz
1pmt,1pmt.cif.gz
1m2b,1m2b.cif.gz
3wj5,3wj5.cif.gz
2ipb,2ipb.cif.gz
2f6u,2f6u.cif.gz
2qr2,2qr2.cif.gz
6aq5,6aq5.cif.gz
5a4n,5a4n.cif.gz
3w4i,3w4i.cif.gz
3d1y,3d1y.cif.gz
4utw,4utw.cif.gz
2crk,2crk.cif.gz
5x8y,5x8y.cif.gz
4xzz,4xzz.cif.gz
3l5l,3l5l.cif.gz
2f6x,2f6x.cif.gz
1ix7,1ix7.cif.gz
5v6g,5v6g.cif.gz
5nlh,5nlh.cif.gz
2uv7,2uv7.cif.gz
2q2p,2q2p.cif.gz
5hyh,5hyh.cif.gz
5mxe,5mxe.cif.gz
1o4w,1o4w.cif.gz
6er1,6er1.cif.gz
4lrw,4lrw.cif.gz
4xz5,4xz5.cif.gz
2bu6,2bu6.cif.gz
1x28,1x28.cif.gz
5eq7,5eq7.cif.gz
6dgk,6dgk.cif.gz
1vev,1vev.cif.gz
3umz,3umz.cif.gz
4rrj,4rrj.cif.gz
2gqd,2gqd.cif.gz
1uq5,1uq5.cif.gz
2rjg,2rjg.cif.gz
3r5f,3r5f.cif.gz
2x60,2x60.cif.gz
4unv,4unv.cif.gz
1lec,1lec.cif.gz
1yud,1yud.cif.gz
5vjd,5vjd.cif.gz
3ty2,3ty2.cif.gz
3qih,3qih.cif.gz
4b4w,4b4w.cif.gz
4p0x,4p0x.cif.gz
3bb8,3bb8.cif.gz
2bdw,2bdw.cif.gz
4yv5,4yv5.cif.gz
1ubw,1ubw.cif.gz
5a4k,5a4k.cif.gz
4ham,4ham.cif.gz
4fei,4fei.cif.gz
3ccd,3ccd.cif.gz
4kcx,4kcx.cif.gz
3w88,3w88.cif.gz
4jzg,4jzg.cif.gz
5ys7,5ys7.cif.gz
3fhw,3fhw.cif.gz
3p0k,3p0k.cif.gz
3a04,3a04.cif.gz
3al1,3al1.cif.gz
6cut,6cut.cif.gz
2vl3,2vl3.cif.gz
1kpb,1kpb.cif.gz
5x13,5x13.cif.gz
3h4o,3h4o.cif.gz
5wqh,5wqh.cif.gz
1ldy,1ldy.cif.gz
5i3f,5i3f.cif.gz
1rfy,1rfy.cif.gz
4uqr,4uqr.cif.gz
6fkt,6fkt.cif.gz
4xd4,4xd4.cif.gz
2efk,2efk.cif.gz
4dbc,4dbc.cif.gz
1onp,1onp.cif.gz
4kgi,4kgi.cif.gz
1kc3,1kc3.cif.gz
1n5s,1n5s.cif.gz
4q4m,4q4m.cif.gz
2gc1,2gc1.cif.gz
1w5r,1w5r.cif.gz
3e5h,3e5h.cif.gz
6fdh,6fdh.cif.gz
2y7r,2y7r.cif.gz
2ohg,2ohg.cif.gz
5qjk,5qjk.cif.gz
3ps8,3ps8.cif.gz
3lsl,3lsl.cif.gz
2y78,2y78.cif.gz
2ydx,2ydx.cif.gz
2zov,2zov.cif.gz
2osd,2osd.cif.gz
3ban,3ban.cif.gz
1ime,1ime.cif.gz
5g6q,5g6q.cif.gz
1sr7,1sr7.cif.gz
3bgg,3bgg.cif.gz
4zj9,4zj9.cif.gz
6abk,6abk.cif.gz
4y6s,4y6s.cif.gz
4b5p,4b5p.cif.gz
6d58,6d58.cif.gz
4g0k,4g0k.cif.gz
1ww4,1ww4.cif.gz
2cen,2cen.cif.gz
3x22,3x22.cif.gz
1q6w,1q6w.cif.gz
1wsr,1wsr.cif.gz
4p8i,4p8i.cif.gz
3wml,3wml.cif.gz
3mhg,3mhg.cif.gz
1v05,1v05.cif.gz
5qje,5qje.cif.gz
2dq3,2dq3.cif.gz
4heq,4heq.cif.gz
3m1g,3m1g.cif.gz
4cg8,4cg8.cif.gz
4omn,4omn.cif.gz
1tdc,1tdc.cif.gz
1l8l,1l8l.cif.gz
1z9n,1z9n.cif.gz
2rak,2rak.cif.gz
4aa8,4aa8.cif.gz
1ne8,1ne8.cif.gz
1mkt,1mkt.cif.gz
4djr,4djr.cif.gz
5g2z,5g2z.cif.gz
2zfw,2zfw.cif.gz
2cvq,2cvq.cif.gz
2olp,2olp.cif.gz
2wgz,2wgz.cif.gz
3epv,3epv.cif.gz
2w2b,2w2b.cif.gz
1qbt,1qbt.cif.gz
1k5h,1k5h.cif.gz
2bkp,2bkp.cif.gz
3il9,3il9.cif.gz
1md0,1md0.cif.gz
2orr,2orr.cif.gz
5c36,5c36.cif.gz
3jwm,3jwm.cif.gz
2qx4,2qx4.cif.gz
5lv4,5lv4.cif.gz
4pzd,4pzd.cif.gz
3e1h,3e1h.cif.gz
5dd7,5dd7.cif.gz
2cz2,2cz2.cif.gz
5qjd,5qjd.cif.gz
1oha,1oha.cif.gz
1zgn,1zgn.cif.gz
3nyt,3nyt.cif.gz
3qpg,3qpg.cif.gz
5f8c,5f8c.cif.gz
4cib,4cib.cif.gz
3fvs,3fvs.cif.gz
2gfx,2gfx.cif.gz
2p6k,2p6k.cif.gz
4p4u,4p4u.cif.gz
3syi,3syi.cif.gz
2aid,2aid.cif.gz
2yr2,2yr2.cif.gz
6c9r,6c9r.cif.gz
3ggu,3ggu.cif.gz
3c4q,3c4q.cif.gz
1mor,1mor.cif.gz
3wrp,3wrp.cif.gz
2qmm,2qmm.cif.gz
5wph,5wph.cif.gz
4bi5,4bi5.cif.gz
3u7j,3u7j.cif.gz
6fz4,6fz4.cif.gz
5eh0,5eh0.cif.gz
1k6t,1k6t.cif.gz
4pum,4pum.cif.gz
4cbr,4cbr.cif.gz
1vz6,1vz6.cif.gz
3bpp,3bpp.cif.gz
3jzd,3jzd.cif.gz
3pfr,3pfr.cif.gz
1xhf,1xhf.cif.gz
1tfz,1tfz.cif.gz
4ne2,4ne2.cif.gz
3o1q,3o1q.cif.gz
1yal,1yal.cif.gz
4eci,4eci.cif.gz
3c5u,3c5u.cif.gz
4nk4,4nk4.cif.gz
3n7u,3n7u.cif.gz
2zzw,2zzw.cif.gz
1lic,1lic.cif.gz
3lin,3lin.cif.gz
4j3r,4j3r.cif.gz
3w7j,3w7j.cif.gz
3dr6,3dr6.cif.gz
3gmg,3gmg.cif.gz
4rgp,4rgp.cif.gz
3qi4,3qi4.cif.gz
5zg2,5zg2.cif.gz
5lk6,5lk6.cif.gz
3if6,3if6.cif.gz
1jup,1jup.cif.gz
3b7d,3b7d.cif.gz
5xvl,5xvl.cif.gz
2y7p,2y7p.cif.gz
4a7q,4a7q.cif.gz
5fiq,5fiq.cif.gz
3bhn,3bhn.cif.gz
3nb7,3nb7.cif.gz
6for,6for.cif.gz
3axa,3axa.cif.gz
1pqp,1pqp.cif.gz
4c8r,4c8r.cif.gz
4o5v,4o5v.cif.gz
1qu4,1qu4.cif.gz
3u04,3u04.cif.gz
2wgg,2wgg.cif.gz
2qtm,2qtm.cif.gz
5ud3,5ud3.cif.gz
4jqh,4jqh.cif.gz
1juj,1juj.cif.gz
4mym,4mym.cif.gz
6dyw,6dyw.cif.gz
3bgu,3bgu.cif.gz
1ssg,1ssg.cif.gz
3i03,3i03.cif.gz
3s5t,3s5t.cif.gz
1t4e,1t4e.cif.gz
4e8y,4e8y.cif.gz
1izi,1izi.cif.gz
1ptr,1ptr.cif.gz
5xza,5xza.cif.gz
2xl6,2xl6.cif.gz
2h5g,2h5g.cif.gz
3fjm,3fjm.cif.gz
4x0o,4x0o.cif.gz
1ok9,1ok9.cif.gz
6agm,6agm.cif.gz
3exc,3exc.cif.gz
5jt0,5jt0.cif.gz
2zdy,2zdy.cif.gz
3psr,3psr.cif.gz
2jlh,2jlh.cif.gz
5h20,5h20.cif.gz
2o4s,2o4s.cif.gz
3jtz,3jtz.cif.gz
5lv5,5lv5.cif.gz
3s18,3s18.cif.gz
4lxy,4lxy.cif.gz
3o2n,3o2n.cif.gz
1qac,1qac.cif.gz
4kcg,4kcg.cif.gz
3fjt,3fjt.cif.gz
3b3f,3b3f.cif.gz
4b9h,4b9h.cif.gz
4zv5,4zv5.cif.gz
2h9f,2h9f.cif.gz
2z5e,2z5e.cif.gz
3d1h,3d1h.cif.gz
1yfu,1yfu.cif.gz
5kb3,5kb3.cif.gz
5z2h,5z2h.cif.gz
4yqt,4yqt.cif.gz
3uhh,3uhh.cif.gz
1lqk,1lqk.cif.gz
4fqw,4fqw.cif.gz
2gsw,2gsw.cif.gz
1v8y,1v8y.cif.gz
3dk1,3dk1.cif.gz
4cpq,4cpq.cif.gz
5jbi,5jbi.cif.gz
1kgo,1kgo.cif.gz
3bzh,3bzh.cif.gz
4daf,4daf.cif.gz
3v7i,3v7i.cif.gz
1zxq,1zxq.cif.gz
2b0c,2b0c.cif.gz
3lzx,3lzx.cif.gz
4tqj,4tqj.cif.gz
4h3o,4h3o.cif.gz
3rir,3rir.cif.gz
3szc,3szc.cif.gz
22gs,22gs.cif.gz
5hd2,5hd2.cif.gz
4pze,4pze.cif.gz
5kj1,5kj1.cif.gz
2z9g,2z9g.cif.gz
1jik,1jik.cif.gz
1isj,1isj.cif.gz
3f3y,3f3y.cif.gz
4acd,4acd.cif.gz
5ns2,5ns2.cif.gz
2gp6,2gp6.cif.gz
1j22,1j22.cif.gz
1oi3,1oi3.cif.gz
1nv7,1nv7.cif.gz
2r4w,2r4w.cif.gz
4apv,4apv.cif.gz
2qm3,2qm3.cif.gz
5gpk,5gpk.cif.gz
2e18,2e18.cif.gz
5bs4,5bs4.cif.gz
3ru9,3ru9.cif.gz
3p32,3p32.cif.gz
2v03,2v03.cif.gz
2qhz,2qhz.cif.gz
1zkz,1zkz.cif.gz
5yt4,5yt4.cif.gz
5qjl,5qjl.cif.gz
6f2u,6f2u.cif.gz
1xvs,1xvs.cif.gz
2hul,2hul.cif.gz
5f8y,5f8y.cif.gz
4jjf,4jjf.cif.gz
4zuq,4zuq.cif.gz
4rri,4rri.cif.gz
5qjt,5qjt.cif.gz
